;;15032;15029;15028;15027;15026;15025;15024;15023;15022;15021;15020;15019;15018;15017;15016;15015;15014;15013;15012;15011;15010;15009;15007;15006;15005;15004;15003;15002;15001
;;Aug 8;Aug 7;Aug 6;Aug 5;Aug 5;Aug 4;Aug 4;Aug 3;Aug 3;Aug 3;Aug 2;Aug 2;Aug 1;Aug 1;Jul 31;Jul 31;Jul 30;Jul 30;Jul 29;Jul 29;Jul 28;Jul 28;Jul 27;Jul 27;Jul 27;Jul 26;Jul 26;Jul 25;Jul 25
dedede (sasuke);;;;;;;;;;;;1;;1;;;;;;;;;;;;;1;;;
dedede (sasukette);;;;;;;;;;;;;;;;1;;;;;;;;;1;;1;;;
dedede (storo);;;;;;;;;;;;1;;1;;1;;;;;;;;;1;;;;1;
drallion;;;;;;;1;;;;;1;;;;;;1;;1;;;;;;;;;;
drallion (drallion360);;;;;;;1;;;;;;;;;1;;;;;;;;;;;;;1;
elm-kernelnext (elm);;;;;;;;;;;1;;;;1;;1;;;;;;;1;;1;;;;
eve;;;;;;1;;;;;1;1;;;;;;;;;;;;1;;1;;;;
fizz (jax);;;;;;;1;;;;;1;;;;;;1;;;;;;;;;;;;
fizz (teemo);;;;;;;;;;;;1;;;;;;;;;;;;;1;;1;;;
fizz-kernelnext (jax);;;;;;1;;;;;1;;1;;;;1;;;;;;;1;;1;;;;
fizz-kernelnext (teemo);;;;;;1;;;;;1;;1;;;;1;;1;;;;;1;;1;;1;;
grunt (aleena);;;;;;1;;;;;;;;;;;1;;;;;1;;1;;;;;;
grunt (barla);;;;;;1;;;;;;;;;;;1;;;;;1;;;;1;;;;
grunt (careena);;;;;;;;;;;;;;;;;;;1;;;;;1;;1;;;;
grunt (kasumi);;;;;;1;;;;;;;;;;;1;;1;;;;;;;1;1;;;
grunt (kasumi360);;;;;;1;;;;;;;;;;;1;;1;;;;;1;;1;;;1;
grunt (liara);;;;;;;;;;;;;;;;;1;;1;;;1;;;;1;;1;;
grunt (treeya);;;;;;1;;;;;;;;;;;1;;1;;;1;;1;;;;1;;
grunt (treeya360);;;;;;1;;;;;;;;;;;1;;1;;;1;1;;;;;;1;
grunt-arc-r (kasumi);;;;;;1;;;;;1;;;;;;;;;;;;;;;;;;;
grunt-kernelnext (aleena);;;;;;1;;;;;1;;;;1;;;;1;;;;;1;;;;1;;
grunt-kernelnext (barla);;;;;;1;;;;;1;;;;1;;;;;;;1;;1;;1;;;;
grunt-kernelnext (careena);;;;;;1;;;;;1;;;;1;;1;;;;;1;;1;;1;;;;
grunt-kernelnext (kasumi);;;;;;1;;;;;1;;;;;;1;;1;;;;;1;;1;;1;;
grunt-kernelnext (kasumi360);;;;;;;;;;;1;;;;1;;;;1;;;1;;;;1;;;;
grunt-kernelnext (liara);;;;;;1;;;;;1;;;;1;;1;;1;;;;;1;;1;;1;;
grunt-kernelnext (treeya);;;;;;1;;;;;1;;;;1;;1;;1;;;;;;;1;;;;
grunt-kernelnext (treeya360);;;;;;;;;;;1;;;;;;;;;;;;;1;;;;1;;
guybrush (dewatt);;;;;;1;;;;;1;;1;1;;;1;;;;;;;;;;;;;
guybrush (nipperkin);;;;;;;;;;;1;;1;;1;;;;;;;;;;;;;;1;
hana;;;;;;;;;;;;;;;;;;1;;1;;;;;;;;;;
hana-kernelnext (hana);;;;;;1;;;;;;;;;1;;;;;;;;;1;;1;;1;;
hatch (akemi);;;;;;1;;;;;1;;;;1;;;;;;;;;;;;;;;
hatch (dragonair);;;;;;1;1;;;;1;;;;1;1;1;1;;;;1;1;;;;;;;
hatch (dratini);;;;;;1;;;;;;1;;1;1;1;;1;;;;;;;1;;;1;;
hatch (helios);;;;;;1;1;;;;1;1;;;;1;;;1;;;;1;;;;1;1;1;
hatch (jinlon);;;;;;;1;;;;1;1;;;;;;;1;;;1;;;;1;1;;1;
hatch (kindred);;;;;;1;;;;;1;;;;;;;;;;;1;;1;;;;;;
hatch (kled);;;;;;1;;;;;1;1;;;;;;;1;;;;;1;;;1;1;;
hatch (kohaku);;;;;;1;;;;;1;1;;;1;;1;1;;;;;1;1;;1;;;1;
hatch (nightfury);;;;;;1;;;;;1;1;;1;;;1;;;;;1;;;;1;1;;;
hatch-arc-r (kled);;;;;;1;;;;;1;;1;;;;1;;;;;;;;;1;;1;;
