; 15032 ; 15029 ; 15028 ; 15027 ; 15026 ; 15025 ; 15024 ; 15023 ; 15022 ; 15021 ; 15020 ; 15019 ; 15018 ; 15017 ; 15016 ; 15015 ; 15014 ; 15013 ; 15012 ; 15011 ; 15010 ; 15009 ; 15007 ; 15006 ; 15005 ; 15004 ; 15003 ; 15002 
volteer (delbin);;;;;;1;;;;;;;;;;;;;;;;;;;;;;
volteer (drobit);;;;1;;;;;;;;;;;;;1;;1;;;;;;;;;
volteer (eldrid);;1;;;;;;;;;1;;1;;1;;;;;x;;;;;;;;
volteer (elemi);;1;;1;;;;;;;;;1;;;;;;;;;;;1;;1;;
volteer (lillipup);;;;;;1;;;;;;;;;;;;;;;;;;;;;;
volteer (lindar);;;;;;;;;;;;;;;;;;;;;;;;;;1;;
volteer (voema);;1;;1;;;;;;;;;;;;;;;;1;;;;;;;;
volteer (volet);;1;;;;;;;;;;;;;;;;;;;;;;;;1;;
volteer (volta);;;;;;;;;;;;;1;;;;;;;;;;;;;1;;
volteer (volteer2);;1;;;;;;;;;;;;;;;;;x;;;;;;;;;
volteer (voxel);;;;;;;;;;;;;x;;;;;;;;;;;x;;;;
volteer-kernelnext (volteer2);;;1;;1;;;;;;;;;;;;;;;;;;;;x;;x;
zork (berknip);;1;1;1;1;1;;;;1;1;1;1;1;;;1;;;1;1;1;;;1;;;
zork (dirinboz);;;;;1;;;;;1;;1;;;;1;;;;;;;;;1;;;
zork (ezkinil);;1;1;1;1;;;;;1;;1;1;;1;1;;;x;;;;;;1;;1;
zork (gumboz);;;x;;1;;;;;1;;;;x;;;1;;;;1;;;;1;;x;
zork (jelboz);;;1;;1;;;;;;;;1;x;;;;1;1;;1;;1;;x;;;
zork (jelboz360);;;;1;x;1;;;;1;;1;;;1;1;;1;;;1;;1;;;;;
zork (morphius);;;1;;1;1;;;;1;;1;;1;;1;1;1;;;;;1;1;1;;;
zork (vilboz);;;1;1;x;;;;;x;;;;;;;;x;;;x;;x;;;;;
zork (vilboz14);;1;x;;x;;;;;1;;;;x;;;;x;;;x;;x;;;;;
zork (vilboz360);;1;;;1;;;;;1;;;;1;;1;;1;;;1;;;;1;;;
zork (woomax);;1;1;;1;;;;;1;;1;;1;;1;;;;;;;;;1;;;
zork-arc-r (berknip);;;1;;;;;;;1;;1;;;;1;;1;;;;;;;;;;
zork-arc-r (vilboz);;;x;;x;;;;;x;;x;;x;;x;;x;;;x;;x;;x;;;
zork-kernelnext (ezkinil);;;x;;x;;;;;x;;;;x;;;;x;;;;;x;;;;;
