; 15032 ; 15029 ; 15028 ; 15027 ; 15026 ; 15025 ; 15024 ; 15023 ; 15022 ; 15021 ; 15020 ; 15019 ; 15018 ; 15017 ; 15016 ; 15015 ; 15014 ; 15013 ; 15012 ; 15011 ; 15010 ; 15009 ; 15007 ; 15006 ; 15005 ; 15004 ; 15003 ; 15002 
jacuzzi-kernelnext (esche);;;1;;1;;;;;1;;;;1;;;;1;;;1;;1;;1;;;
jacuzzi-kernelnext (fennel);;;1;;;;;;;1;;;;1;;;;;;;;;;;1;;1;
jacuzzi-kernelnext (fennel14);;;1;;1;;;;;1;;;;1;;1;;;;;1;;1;;;;1;
jacuzzi-kernelnext (juniper);;;1;;1;;;;;1;;;;1;;;;1;;;;;;;;;1;
jacuzzi-kernelnext (kappa);;;;;1;;;;;1;;;;;;1;;1;;;1;;;;1;;;
jacuzzi-kernelnext (kenzo);;;1;;1;;;;;1;;;;1;;1;;1;;;;;;;1;;1;
jacuzzi-kernelnext (stern);;;1;;1;;;;;1;;;;;;1;;1;;;;;1;;1;;;
jacuzzi-kernelnext (willow);;;;;;;;;;1;;;;;;1;;;;;;;;;1;;1;
kalista-kernelnext (karma);;;1;;x;;;;;1;;1;;x;;;;x;;;1;;x;;1;;;
keeby (gooey);;;1;;1;;;;;1;;;;1;;1;;;;;;;;;;;;
kevin-kernelnext (kevin);;;x;;x;;x;;x;x;;x;;;;;;x;;;x;;;;x;;;
kukui (kakadu);;x;;1;;1;;;;;;;;;;;;;;;;;;;;;;
kukui (katsu);;;;1;;1;;;;;1;;;;;;;;;;;1;;;;;;
kukui (kodama);;;;;;x;;;;;;;;;;;x;;;;;;;;;;;
kukui (krane);;;;1;;1;;;;;1;;;;;;;;1;;;;;;;;;
kukui-arc-r (krane);;;x;;x;;;;;x;;;;x;;;;x;;;;;;;x;;;
kukui-kernelnext (kakadu);;;1;;;;;;;1;;1;;;;;;x;;;x;;;;;;;
kukui-kernelnext (katsu);;;1;;1;;;;;1;;;;;;;;;;;1;;;;;;;
kukui-kernelnext (kodama);;;x;;;;;;;x;;x;;x;;;;x;;;x;;;;x;;;
kukui-kernelnext (krane);;;;;1;;;;;1;;1;;;;;;;;;;;1;;1;;;
lars;;;;;;;;;;;;;;;;;x;;;;;;;;;;;
lars-kernelnext (lars);;;x;;x;;;;;x;;;;;;x;;;;;;;;;x;;x;
nami (akali);;x;;;;x;;;;;;;;;;;;;;;;;;;;x;;
nami (akali360);;x;;x;;;;;;;;;x;;x;;;;;x;;;;;;x;;
nami (bard);;;;1;;1;;;;;;;1;;1;;1;;1;;;1;;;;;;
nami (ekko);;1;;x;;;;;;;;;x;;;;;;;;;x;;;;;;
nami (pantheon);;1;;1;;;;;;;;;;;;;;;;;;;;1;;;;
nami (sona);;1;;;;1;;;;;;;1;;;;;;;;;;;;;;;
nami (syndra);;;;1;;;;;;;;;1;;;;;;;;;1;;;;1;;
nami (vayne);;1;;1;;;;;;;;;;;;;;;;1;;;;1;;;;
nami-kernelnext (akali);;;x;;x;;;;;x;;x;;x;;x;;;;;x;;;;1;;x;
nami-kernelnext (akali360);;;;;;;;;;x;;;;;;x;;x;;;;;;;;;;
nami-kernelnext (bard);;;1;;1;;;;;;;1;;;;;;;;;;;;;;;;
nami-kernelnext (ekko);;;1;;1;;;;;1;;;;;;;;1;;;;;;;;;;
nami-kernelnext (pantheon);;;1;;1;;;;;1;;;;;;;;1;;;1;;;;;;1;
nami-kernelnext (sona);;;;;1;;;;;1;;1;;1;;;;;;;x;;;;1;;;
nami-kernelnext (syndra);;;1;;1;;;;;1;;1;;;;1;;;;;;;;;;;1;
nami-kernelnext (vayne);;;;;1;;;;;1;;1;;;;;;;;;1;;;;1;;;
nautilus;;;;x;;;;;;;;;x;;;;;;;;;;;;;;;
nautilus (nautiluslte);;x;;;;;;;;;;;x;;;;;;;x;;x;;;;;;
nocturne;;;;;;x;;;;;;;;;x;;;;;;;;;;;;;
nocturne-kernelnext (nocturne);;;;;x;;;;;;;;;;;;;x;;;;;;;x;;x;
octopus (ampton);;1;x;;x;;;;;x;;x;;;;x;;;;;;;x;;x;;;
octopus (apel);;;x;;;;;;;x;;x;;;;;;x;;;;;x;;x;;;
octopus (bloog);;;;;x;;;;;x;;;;;;x;;;;;;;;;x;;;
octopus (blooglet);;;x;;x;;;;;x;x;;;x;;;;;;;;;x;;x;;;
octopus (blooguard);;;;;;;;;;x;;x;;x;;;x;x;;;;;x;;x;;1;
octopus (blorb);;;x;;;;;;;x;;x;;x;;;;x;;;;;x;;x;;x;
octopus (bluebird);;;x;x;;;;;;;x;x;;x;;;;x;;;x;;x;;x;x;;
octopus (bobba);;;;;x;;;;;x;;;;;;;;x;;;;;x;;x;;x;
octopus (bobba360);;;x;;x;;;;;x;x;x;;;;;x;x;;;;;x;;;;;
octopus (casta);;;;;x;;;;;x;;;;x;;x;;;;;;;x;;;;;
octopus (dood);;;x;x;x;;;;;x;;x;;;;x;x;;x;;x;;x;;;;x;
octopus (dorp);;1;;;x;;;;;x;x;x;;;;x;;1;;;;;1;;;;;
octopus (droid);;1;x;;x;;;;;x;;x;;x;;x;;x;;;x;x;x;;x;;;
octopus (fleex);;1;x;;x;;;;;x;x;x;;x;;x;;;;;x;;;;x;;x;
octopus (foob);;1;;x;x;;;;;x;;x;;;;;;x;;;x;;x;;x;;x;
octopus (foob360);;;x;;x;;;;;x;;x;;x;;;;;;;;;;;;;;
octopus (garfour);;;1;;;;;;;x;;1;;;;;;;;;;;x;;;;;
octopus (garg);;;x;x;x;;;;;x;;x;;x;;x;;;;;;;;;;;x;
octopus (garg360);;1;x;1;x;;;;;x;;x;;x;;;;x;;;;x;;;;;1;
octopus (grabbiter);;;x;;x;;;;;x;;;;;;x;;x;;;;;;;x;;;
octopus (laser14);;;;;x;;;;;x;;x;;;;;;x;;;x;;x;;;;x;
octopus (lick);;;x;;;;;;;x;;;;x;;;;x;;;x;;;;x;;x;
octopus (mimrock);;;;;x;;;;;x;;;;x;;;;;;;;;;;;;x;
octopus (nospike);;1;x;;x;;;;;x;x;x;;;;;;x;;;;;;;;;x;
octopus (orbatrix);;;x;;x;;;;;x;;;;;;;;;;;x;;x;;x;;;
octopus (phaser);;;x;;x;;;;;x;;x;;x;;x;;;;;;;;;x;;x;
octopus (phaser360);;1;x;;x;;;;;x;;x;;;;;;x;;;;;x;;;;x;
octopus (sparky);;;x;;x;;;;;x;;x;;x;;;;x;;;x;;x;;x;;x;
octopus (sparky360);;1;x;;;;;;;;x;x;;x;;x;x;;;;x;;x;;x;;;
octopus (vorticon);;;x;;x;;;;;x;;x;;;;;;;;;;;;;x;;x;
octopus (vortininja);;1;x;x;x;x;;;;x;;x;;;;;;x;;;;;;;x;;;
octopus-arc-r (blorb);;;x;;;;;;;x;;x;;x;;;;x;;;;;x;;x;;x;
octopus-arc-r (bluebird);;;x;;x;;;;;x;;;;x;;;;x;;;;;;;x;;;
octopus-kernelnext (ampton);;;;;x;;;;;;;x;;x;;x;;x;;;;;;;x;;;
octopus-kernelnext (apel);;;;;x;;;;;x;;x;;;;x;;x;;;x;;;;x;;;
octopus-kernelnext (bloog);;;x;;;;;;;x;;x;;;;;;;;;x;;x;;x;;x;
octopus-kernelnext (blooglet);;;;;;;;;;x;;x;;x;;x;;x;;;x;;x;;x;;;
