;;15032;15029;15028;15027;15026;15025;15024;15023;15022;15021;15020;15019;15018;15017;15016;15015;15014;15013;15012;15011;15010;15009;15007;15006;15005;15004;15003;15002;15001
dedede (magneto);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dedede (magolor);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dedede (magpie);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dedede (metaknight);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dedede (pasara);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dedede (pirette);;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;
dedede (pirika);;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
dedede (sasuke);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dedede (sasukette);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dedede (storo);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
drallion;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
drallion (drallion360);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
elm-kernelnext (elm);;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;
eve;;;;;;1;;;;;1;;;;;;;;;;;;;;;;;;;
fizz (jax);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
fizz (teemo);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
fizz-kernelnext (jax);;;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;
fizz-kernelnext (teemo);;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;
grunt (aleena);;;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;
grunt (barla);;;;;;1;;;;;;;;;;;1;;;;;;;;;;;;;
grunt (careena);;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;
grunt (kasumi);;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;
grunt (kasumi360);;;;1;;1;;;;;;;;;;;;;1;;;;;;;;;;;
grunt (liara);;;;1;;;;;;;;;;;;;;;;;;;;;;;;1;;
grunt (treeya);;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;
grunt (treeya360);;;;;1;1;;;;;;;;;;;1;;;;;;;;;;;;;
grunt-arc-r (kasumi);;;;1;;1;;;;;1;;;;;;;;;;;;;;;;;;;
grunt-kernelnext (aleena);;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;
grunt-kernelnext (barla);;;;1;;1;;;;;;;;;;;;;;;;1;;;;;;;;
grunt-kernelnext (careena);;;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;
grunt-kernelnext (kasumi);;;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;
grunt-kernelnext (kasumi360);;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;
grunt-kernelnext (liara);;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;
grunt-kernelnext (treeya);;;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;
grunt-kernelnext (treeya360);;;;1;;;;;;;1;;;;;;;;;;;;;;;;;;;
guybrush (dewatt);;;;;;;;;;;1;;;;;;1;;;;;;;;;;;;;
guybrush (nipperkin);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
hana;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
hana-kernelnext (hana);;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;
hatch (akemi);;;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;
hatch (dragonair);;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;
hatch (dratini);;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;
hatch (helios);;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1;
hatch (jinlon);;;;;;;1;;;;;1;;;;;;;1;;;;;;;1;;;1;
hatch (kindred);;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;
hatch (kled);;;;;;1;;;;;;;;;;;;;;;;;;;;;;1;;
hatch (kohaku);;;;;;1;;;;;1;1;;;1;;1;1;;;;;1;1;;1;;;1;
hatch (nightfury);;;;;;;;;;;;1;;;;;1;;;;;1;;;;;;;;
hatch-arc-r (kled);;;;1;;1;;;;;1;;;;;;1;;;;;;;;;;;;;
hatch-arc-r (kohaku);;;;1;;1;;;;;1;;;;;;;;1;;;;;1;;;;1;;
hatch-borealis (helios);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
hatch-kernelnext (kohaku);;;;1;;1;;;;;;;1;;1;;;;;;;;;;;;;;;
hatch-kernelnext (nightfury);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
jacuzzi-kernelnext (burnet);;;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;
jacuzzi-kernelnext (cerise);;;;1;;1;;;;;;;;;1;;;;;;;;;;;;;;;
jacuzzi-kernelnext (cozmo);;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;
jacuzzi-kernelnext (damu);;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;
jacuzzi-kernelnext (esche);;;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;
jacuzzi-kernelnext (fennel);;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;
jacuzzi-kernelnext (fennel14);;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;
jacuzzi-kernelnext (juniper);;;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;
jacuzzi-kernelnext (kappa);;;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;
jacuzzi-kernelnext (kenzo);;;;1;;1;;;;;;;;;;;;;;;;;;;;1;;;;
jacuzzi-kernelnext (stern);;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;
jacuzzi-kernelnext (willow);;;;;;1;;;;;1;;;;;;;;;;;;;1;;;;;;
kalista (karma);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
kalista-kernelnext (karma);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
keeby (gooey);;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;
kevin-kernelnext (kevin);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
kukui-arc-r (krane);;;;1;;;;;;;;;;;;;1;;;;;;;;;1;;;;
kukui-kernelnext (kakadu);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
kukui-kernelnext (katsu);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
kukui-kernelnext (kodama);;;;;;1;;;;;1;;;;1;;;;;;;1;;;;1;;;;
kukui-kernelnext (krane);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
lars;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
lars-kernelnext (lars);;;;1;;1;;;;;;;;;;;;;1;;;;;;;;;;;
nami (akali);;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;
nami (akali360);;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;
nami (bard);;;1;;1;;;;;;;;;;;;;;;;;;;;;;1;;;
nami (ekko);;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;
nami (pantheon);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
nami (sona);;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
nami (syndra);;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;
nami (vayne);;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;
nami-kernelnext (akali);;;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;
nami-kernelnext (akali360);;;;1;;;;;;;;;1;;;;;;;;;;;;;1;;;;
nami-kernelnext (bard);;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;
nami-kernelnext (ekko);;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;
nami-kernelnext (pantheon);;;;;;1;;;;;;;;;;;1;;;;;;;;;;;;;
nami-kernelnext (sona);;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;
nami-kernelnext (syndra);;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;
nami-kernelnext (vayne);;;;1;;;;;;;1;;1;;;;;;;;;;;;;;;;;
nautilus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
nautilus (nautiluslte);;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;
nocturne;;;;;1;;1;;;;;1;;;;;;;;;;;;;;;;;;
nocturne-kernelnext (nocturne);;;;1;;1;;;;;;;;;;;;;;;;1;;1;;1;;1;;
octopus (ampton);;;;1;;;;;;;;;1;;;;;;;;;;;;;;;;;
octopus (apel);;;;1;;;;;;;;;;;;;;;;;;;;1;;;;;;
octopus (bloog);;;;1;;;;;;;;;;;;;;1;;;;1;;;;;;;;
octopus (blooglet);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
octopus (blooguard);;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;
octopus (blorb);;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;
octopus (bluebird);;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;
octopus (bobba);;;;;;;;;;;1;;;;;;;;;;;;;;;1;;1;;
octopus (bobba360);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
octopus (casta);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
octopus (dood);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
octopus (dorp);;;;;;;;;;;;;;;;;;;;;;1;;1;;1;;;;
octopus (droid);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
octopus (fleex);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
octopus (foob);;;;;;;;;;;1;;;;;;;;;;;1;;;;1;;;;
octopus (foob360);;;;1;;1;;;;;;;;;1;;1;;;;;;;1;;1;;;;
