failed;=COUNTIF(B9:B295, "x");=COUNTIF(C9:C295, "x");=COUNTIF(D9:D295, "x");=COUNTIF(E9:E295, "x");=COUNTIF(F9:F295, "x");=COUNTIF(G9:G295, "x");=COUNTIF(H9:H295, "x");=COUNTIF(I9:I295, "x");=COUNTIF(J9:J295, "x");=COUNTIF(K9:K295, "x");=COUNTIF(L9:L295, "x");=COUNTIF(M9:M295, "x");=COUNTIF(N9:N295, "x");=COUNTIF(O9:O295, "x");=COUNTIF(P9:P295, "x");=COUNTIF(Q9:Q295, "x");=COUNTIF(R9:R295, "x");=COUNTIF(S9:S295, "x");=COUNTIF(T9:T295, "x");=COUNTIF(U9:U295, "x");=COUNTIF(V9:V295, "x");=COUNTIF(W9:W295, "x");=COUNTIF(X9:X295, "x");=COUNTIF(Y9:Y295, "x");=COUNTIF(Z9:Z295, "x");=COUNTIF(AA9:AA295, "x");=COUNTIF(AB9:AB295, "x");=COUNTIF(AC9:AC295, "x");
pass;=SUM(B9:B295);=SUM(C9:C295);=SUM(D9:D295);=SUM(E9:E295);=SUM(F9:F295);=SUM(G9:G295);=SUM(H9:H295);=SUM(I9:I295);=SUM(J9:J295);=SUM(K9:K295);=SUM(L9:L295);=SUM(M9:M295);=SUM(N9:N295);=SUM(O9:O295);=SUM(P9:P295);=SUM(Q9:Q295);=SUM(R9:R295);=SUM(S9:S295);=SUM(T9:T295);=SUM(U9:U295);=SUM(V9:V295);=SUM(W9:W295);=SUM(X9:X295);=SUM(Y9:Y295);=SUM(Z9:Z295);=SUM(AA9:AA295);=SUM(AB9:AB295);=SUM(AC9:AC295);
total run;=COUNTA(B9:B295);=COUNTA(C9:C295);=COUNTA(D9:D295);=COUNTA(E9:E295);=COUNTA(F9:F295);=COUNTA(G9:G295);=COUNTA(H9:H295);=COUNTA(I9:I295);=COUNTA(J9:J295);=COUNTA(K9:K295);=COUNTA(L9:L295);=COUNTA(M9:M295);=COUNTA(N9:N295);=COUNTA(O9:O295);=COUNTA(P9:P295);=COUNTA(Q9:Q295);=COUNTA(R9:R295);=COUNTA(S9:S295);=COUNTA(T9:T295);=COUNTA(U9:U295);=COUNTA(V9:V295);=COUNTA(W9:W295);=COUNTA(X9:X295);=COUNTA(Y9:Y295);=COUNTA(Z9:Z295);=COUNTA(AA9:AA295);=COUNTA(AB9:AB295);=COUNTA(AC9:AC295);
pass rate;=IF(B5=0, "N/A",B5/B6);=IF(C5=0, "N/A",C5/C6);=IF(D5=0, "N/A",D5/D6);=IF(E5=0, "N/A",E5/E6);=IF(F5=0, "N/A",F5/F6);=IF(G5=0, "N/A",G5/G6);=IF(H5=0, "N/A",H5/H6);=IF(I5=0, "N/A",I5/I6);=IF(J5=0, "N/A",J5/J6);=IF(K5=0, "N/A",K5/K6);=IF(L5=0, "N/A",L5/L6);=IF(M5=0, "N/A",M5/M6);=IF(N5=0, "N/A",N5/N6);=IF(O5=0, "N/A",O5/O6);=IF(P5=0, "N/A",P5/P6);=IF(Q5=0, "N/A",Q5/Q6);=IF(R5=0, "N/A",R5/R6);=IF(S5=0, "N/A",S5/S6);=IF(T5=0, "N/A",T5/T6);=IF(U5=0, "N/A",U5/U6);=IF(V5=0, "N/A",V5/V6);=IF(W5=0, "N/A",W5/W6);=IF(X5=0, "N/A",X5/X6);=IF(Y5=0, "N/A",Y5/Y6);=IF(Z5=0, "N/A",Z5/Z6);=IF(AA5=0, "N/A",AA5/AA6);=IF(AB5=0, "N/A",AB5/AB6);=IF(AC5=0, "N/A",AC5/AC6);
;;
octopus-arc-r (blorb);;;;1;;;;;;;x;;x;;x;;;;x;;;;;x;;x;;x;
octopus-arc-r (bluebird);;;;1;;x;;;;;x;;;;x;;;;x;;;;;;;x;;;
octopus-kernelnext (ampton);;;;;;x;;;;;;;x;;x;;x;;x;;;;;;;x;;;
octopus-kernelnext (apel);;;;;;x;;;;;x;;x;;;;x;;x;;;x;;;;x;;;
octopus-kernelnext (bloog);;;;1;;;;;;;x;;x;;;;;;;;;x;;x;;x;;x;
octopus-kernelnext (blooglet);;;;;;;;;;;x;;x;;x;;x;;x;;;x;;x;;x;;;
octopus-kernelnext (blooguard);;;;1;;x;;;;;;;x;;;;;;;;;;;;;;;;
octopus-kernelnext (blorb);;;;1;;x;;;;;x;;x;;x;;;;x;;;;;;;x;;x;
octopus-kernelnext (bluebird);;;;1;;x;;;;;x;;x;;x;;;;x;;;x;;;;;;;
octopus-kernelnext (bobba);;;;1;;x;;;;;x;;x;;;;;;;;;;;;;;;;
octopus-kernelnext (bobba360);;;;1;;x;;;;;x;;x;;x;;;;;;;x;;x;;;;x;
octopus-kernelnext (casta);;;;1;;x;;;;;x;;x;;;;x;;;;;;;x;;;;;
octopus-kernelnext (dood);;;;;;;;;;;x;;x;;;;x;;;;;x;;x;;;;;
octopus-kernelnext (dorp);;;;1;;x;;;;;x;;;;;;;;;;;x;;;;x;;x;
octopus-kernelnext (droid);;;;1;;x;;;;;x;;x;;;;;;x;;;x;;x;;x;;x;
octopus-kernelnext (fleex);;;;1;;x;;;;;x;;x;;;;;;;;;;;;;x;;;
octopus-kernelnext (foob);;;;1;;x;;;;;x;;x;;x;;;;;;;;;;;x;;x;
octopus-kernelnext (foob360);;;;1;;;;;;;x;;;;x;;;;;;;x;;;;;;x;
octopus-kernelnext (garfour);;;;1;;x;;;;;x;;x;;;;x;;x;;;;;x;;;;;
octopus-kernelnext (garg);;;;1;;x;;;;;x;;;;x;;;;;;;;;x;;x;;;
octopus-kernelnext (garg360);;;;1;;x;;;;;x;;x;;x;;;;;;;;;;;;;x;
octopus-kernelnext (grabbiter);;;;1;;x;;;;;x;;;;x;;;;x;;;;;x;;x;;x;
octopus-kernelnext (laser14);;;;1;;x;;;;;x;;x;;x;;x;;;;;x;;x;;x;;;
octopus-kernelnext (lick);;;;1;;x;;;;;x;;;;x;;;;x;;;;;x;;;;;
octopus-kernelnext (meep);;;;;;;;;;;;;;;;;;;;;;x;;x;;x;;;
octopus-kernelnext (mimrock);;;;1;;;;;;;x;;;;;;x;;x;;;x;;x;;x;;;
octopus-kernelnext (nospike);;;;;;x;;;;;;;x;;x;;x;;;;;;;x;;x;;;
octopus-kernelnext (orbatrix);;;;1;;x;;;;;x;;;;x;;;;;;;;;x;;;;x;
octopus-kernelnext (phaser);;;;1;;x;;;;;x;;;;x;;;;;;;x;;;;x;;x;
octopus-kernelnext (phaser360);;;;;;x;;;;;x;;;;x;;;;x;;;;;;;;;;
octopus-kernelnext (sparky);;;;1;;x;;;;;x;;x;;x;;x;;x;;;x;;;;x;;;
octopus-kernelnext (sparky360);;;;;;x;;;;;x;;;;x;;;;;;;;;;;x;;x;
octopus-kernelnext (vorticon);;;;1;;;;;;;x;;x;;x;;x;;x;;;;;x;;;;;
octopus-kernelnext (vortininja);;;;1;;x;;;;;x;;x;;;;x;;x;;;x;;x;;;;x;
puff (dooly);;;;;1;;;;;;;x;;x;;;;;;;x;;;;;;;;
puff (duffy);;;1;;1;;;;;;;x;;;;;;;;;x;;;;;;;;
puff (faffy);;;1;;1;;;;;;;;;x;;;;;;;;;;;;;x;;
puff (kaisa);;;;;1;;;;;;;x;;;;x;;;;;x;;x;;;;x;;
puff (noibat);;;1;;1;;;;;;;x;;x;;;;x;;;;;x;;;;x;;
puff;;;;;;;;;;;;x;;x;;;;;;;x;;x;;;;;;
puff (wyvern);;;;;;;;;;;;x;;;;;;;;;;;;;x;;;;
rammus (shyvana);;;1;;1;;x;;;;;x;;;;;;x;;x;;;;;;;x;;
rammus-arc-r (shyvana);;;;;;x;;;;;x;;;;x;;;;;;;x;;;;;;;
sarien (arcada);;;1;;1;;;;;;;x;;;;;;;;;;;;;;;;;
sarien;;;;;1;;x;;;;;x;;;;;;x;;;;;;;;;;;
scarlet (dru);;;;;;x;;;;x;x;;;;x;;;;;;;;;;;;;;
scarlet (dumo);;;;;;x;;x;;x;x;;x;;x;;;;;;;;;;;;;;
scarlet-kernelnext (dru);;;;1;;x;;;;x;x;;x;;;;x;;;;;x;;;;x;;x;
scarlet-kernelnext (druwl);;;;1;;x;;;;;x;;x;;;;x;;;;;x;;x;;x;;x;
scarlet-kernelnext (dumo);;;;1;;x;;;;x;;;x;;x;;;;x;;;;;;;;;x;
snappy-kernelnext (snappy);;;;1;;;;x;;x;x;;;;;;;;x;;;;;x;;;;;
soraka;;;;;;;x;;;;;;;;;;;x;;;;;;;x;;;;
strongbad (coachz);;;1;1;;x;;;;;x;;x;;x;;x;;;;;x;x;x;;x;;;
strongbad (mrbland);;;;;;;;;;;x;;x;;;;;;;;;;;;;;;;
strongbad (quackingstick);;;;;;;;;;;;;;;;;;;;;;;;x;;;;;
strongbad (wormdingler);;;;;;;;;;;x;;x;x;;;x;;;;;;;;;;;;
strongbad-kernelnext (coachz);;;;1;;x;;;;;x;;;;;;x;;x;;;x;;;;x;;x;
trogdor (lazor);;;;1;1;x;;;;;x;x;;x;;;x;;;;;;;x;;x;;x;
trogdor (limozeen);;;;;;;;;;;x;;x;;;;x;;;;;;;x;;x;;;
trogdor (pazquel);;;;1;;x;;;;;;;;;;;x;;;;;;;;;;;x;
trogdor (pompom);;;;1;;x;;;;;x;;;;;;x;;;;;;;x;;x;;;
trogdor-arc-r (pompom);;;;1;;x;;;;;x;;;;x;;;;;;;x;;x;;x;;;
trogdor-kernelnext (lazor);;;;1;;x;;;;;x;;;;x;;;;x;;;;;x;;x;;;
trogdor-kernelnext (limozeen);;;;1;;x;;;;;x;;;;x;;x;;x;;;;;;;;;;
trogdor-kernelnext (pompom);;;;1;;x;;;;;x;;;;x;;;;;;;x;;x;;x;;;
trogdor64 (lazor);;;;1;;x;;;;;x;;;;;;;;;;;x;;x;;x;;x;
volteer (chronicler);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
volteer (collis);;;;;;;;;;;;;;;;x;;;;;;;;;;;x;;
volteer (copano);;;1;;;;;;;;;;;x;;;;;;;x;;x;;;;;;
volteer (delbin);;;;;;;x;;;;;;;;;;;;;;;;;;;;;;
volteer (drobit);;;;;1;;;;;;;;;;;;;x;;x;;;;;;;;;
volteer (eldrid);;;1;;;;;;;;;x;;x;;x;;;;;x;;;;;;;;
volteer (elemi);;;1;;1;;;;;;;;;x;;;;;;;;;;;x;;x;;
volteer (lillipup);;;;;;;x;;;;;;;;;;;;;;;;;;;;;;
volteer (lindar);;;;;;;;;;;;;;;;;;;;;;;;;;;x;;
volteer (voema);;;1;;1;;;;;;;;;;;;;;;;x;;;;;;;;
volteer (volet);;;1;;;;;;;;;;;;;;;;;;;;;;;;x;;
volteer (volta);;;;;;;;;;;;;;x;;;;;;;;;;;;;x;;
volteer (volteer2);;;1;;;;;;;;;;;;;;;;;x;;;;;;;;;
volteer (voxel);;;;;;;;;;;;;;x;;;;;;;;;;;x;;;;
volteer-kernelnext (volteer2);;;;1;;x;;;;;;;;;;;;;;;;;;;;x;;x;
zork (berknip);;;1;1;1;x;x;;;;x;x;x;x;x;;;x;;;x;x;x;;;x;;;
zork (dirinboz);;;;;;x;;;;;x;;x;;;;x;;;;;;;;;x;;;
zork (ezkinil);;;1;1;1;x;;;;;x;;x;x;;x;x;;;x;;;;;;x;;x;
zork (gumboz);;;;1;;x;;;;;x;;;;x;;;x;;;;x;;;;x;;x;
zork (jelboz);;;;1;;x;;;;;;;;x;x;;;;x;x;;x;;x;;x;;;
zork (jelboz360);;;;;1;x;x;;;;x;;x;;;x;x;;x;;;x;;x;;;;;
zork (morphius);;;;1;;x;x;;;;x;;x;;x;;x;x;x;;;;;x;x;x;;;
zork (vilboz);;;;1;1;x;;;;;x;;;;;;;;x;;;x;;x;;;;;
zork (vilboz14);;;1;1;;x;;;;;x;;;;x;;;;x;;;x;;x;;;;;
zork (vilboz360);;;1;;;x;;;;;x;;;;x;;x;;x;;;x;;;;x;;;
zork (woomax);;;1;1;;x;;;;;x;;x;;x;;x;;;;;;;;;x;;;
zork-arc-r (berknip);;;;1;;;;;;;x;;x;;;;x;;x;;;;;;;;;;
zork-arc-r (vilboz);;;;1;;x;;;;;x;;x;;x;;x;;x;;;x;;x;;x;;;
zork-kernelnext (ezkinil);;;;1;;x;;;;;x;;;;x;;;;x;;;;;x;;;;;
