; 15032 ; 15029 ; 15028 ; 15027 ; 15026 ; 15025 ; 15024 ; 15023 ; 15022 ; 15021 ; 15020 ; 15019 ; 15018 ; 15017 ; 15016 ; 15015 ; 15014 ; 15013 ; 15012 ; 15011 ; 15010 ; 15009 ; 15007 ; 15006 ; 15005 ; 15004 ; 15003 ; 15002 
jacuzzi-kernelnext (esche);;;x;;x;;;;;x;;;;x;;;;x;;;x;;x;;x;;;
jacuzzi-kernelnext (fennel);;;x;;;;;;;x;;;;x;;;;;;;;;;;x;;x;
jacuzzi-kernelnext (fennel14);;;x;;x;;;;;x;;;;x;;x;;;;;x;;x;;;;x;
jacuzzi-kernelnext (juniper);;;x;;x;;;;;x;;;;x;;;;x;;;;;;;;;x;
jacuzzi-kernelnext (kappa);;;;;x;;;;;x;;;;;;x;;x;;;x;;;;x;;;
jacuzzi-kernelnext (kenzo);;;x;;x;;;;;x;;;;x;;x;;x;;;;;;;x;;x;
jacuzzi-kernelnext (stern);;;x;;x;;;;;x;;;;;;x;;x;;;;;x;;x;;;
jacuzzi-kernelnext (willow);;;;;;;;;;x;;;;;;x;;;;;;;;;x;;x;
kalista-kernelnext (karma);;;x;;x;;;;;x;;x;;x;;;;x;;;x;;x;;x;;;
keeby (gooey);;;x;;x;;;;;x;;;;x;;x;;;;;;;;;;;;
kevin-kernelnext (kevin);;;x;;x;;x;;x;x;;x;;;;;;x;;;x;;;;x;;;
kukui (kakadu);;x;;x;;x;;;;;;;;;;;;;;;;;;;;;;
kukui (katsu);;;;x;;x;;;;;x;;;;;;;;;;;x;;;;;;
kukui (kodama);;;;;;x;;;;;;;;;;;x;;;;;;;;;;;
kukui (krane);;;;x;;x;;;;;x;;;;;;;;x;;;;;;;;;
kukui-arc-r (krane);;;x;;x;;;;;x;;;;x;;;;x;;;;;;;x;;;
kukui-kernelnext (kakadu);;;x;;;;;;;x;;x;;;;;;x;;;x;;;;;;;
kukui-kernelnext (katsu);;;x;;x;;;;;x;;;;;;;;;;;x;;;;;;;
kukui-kernelnext (kodama);;;x;;;;;;;x;;x;;x;;;;x;;;x;;;;x;;;
kukui-kernelnext (krane);;;;;x;;;;;x;;x;;;;;;;;;;;x;;x;;;
lars;;;;;;;;;;;;;;;;;x;;;;;;;;;;;
lars-kernelnext (lars);;;x;;x;;;;;x;;;;;;x;;;;;;;;;x;;x;
nami (akali);;x;;;;x;;;;;;;;;;;;;;;;;;;;x;;
nami (akali360);;x;;x;;;;;;;;;x;;x;;;;;x;;;;;;x;;
nami (bard);;;;x;;x;;;;;;;x;;x;;x;;x;;;x;;;;;;
nami (ekko);;x;;x;;;;;;;;;x;;;;;;;;;x;;;;;;
nami (pantheon);;x;;x;;;;;;;;;;;;;;;;;;;;x;;;;
