; 15032 ; 15029 ; 15028 ; 15027 ; 15026 ; 15025 ; 15024 ; 15023 ; 15022 ; 15021 ; 15020 ; 15019 ; 15018 ; 15017 ; 15016 ; 15015 ; 15014 ; 15013 ; 15012 ; 15011 ; 15010 ; 15009 ; 15007 ; 15006 ; 15005 ; 15004 ; 15003 ; 15002 
trogdor-arc-r (pompom);;;x;;x;;;;;x;;;;x;;;;;;;x;;x;;x;;;
trogdor-kernelnext (lazor);;;x;;x;;;;;x;;;;x;;;;x;;;;;x;;x;;;
trogdor-kernelnext (limozeen);;;x;;x;;;;;x;;;;x;;x;;x;;;;;;;;;;
trogdor-kernelnext (pompom);;;x;;x;;;;;x;;;;x;;;;;;;x;;x;;x;;;
trogdor64 (lazor);;;x;;x;;;;;x;;;;;;;;;;;x;;x;;x;;x;
volteer (chronicler);;;;;;;;;;;;;;;;;;;;;;;;;;;;
volteer (collis);;;;;;;;;;;;;;;x;;;;;;;;;;;x;;
volteer (copano);;x;;;;;;;;;;;x;;;;;;;x;;x;;;;;;
volteer (delbin);;;;;;x;;;;;;;;;;;;;;;;;;;;;;
volteer (drobit);;;;x;;;;;;;;;;;;;x;;x;;;;;;;;;
volteer (eldrid);;x;;;;;;;;;x;;x;;x;;;;;x;;;;;;;;
volteer (elemi);;x;;x;;;;;;;;;x;;;;;;;;;;;x;;x;;
volteer (lillipup);;;;;;x;;;;;;;;;;;;;;;;;;;;;;
volteer (lindar);;;;;;;;;;;;;;;;;;;;;;;;;;x;;
volteer (voema);;x;;x;;;;;;;;;;;;;;;;x;;;;;;;;
volteer (volet);;x;;;;;;;;;;;;;;;;;;;;;;;;x;;
volteer (volta);;;;;;;;;;;;;x;;;;;;;;;;;;;x;;
volteer (volteer2);;x;;;;;;;;;;;;;;;;;x;;;;;;;;;
volteer (voxel);;;;;;;;;;;;;x;;;;;;;;;;;x;;;;
volteer-kernelnext (volteer2);;;x;;x;;;;;;;;;;;;;;;;;;;;x;;x;
zork (berknip);;x;x;x;x;x;;;;x;x;x;x;x;;;x;;;x;x;x;;;x;;;
zork (dirinboz);;;;;x;;;;;x;;x;;;;x;;;;;;;;;x;;;
zork (ezkinil);;x;x;x;x;;;;;x;;x;x;;x;x;;;x;;;;;;x;;x;
zork (gumboz);;;x;;x;;;;;x;;;;x;;;x;;;;x;;;;x;;x;
zork (jelboz);;;x;;x;;;;;;;;x;x;;;;x;x;;x;;x;;x;;;
zork (jelboz360);;;;x;x;x;;;;x;;x;;;x;x;;x;;;x;;x;;;;;
zork (morphius);;;x;;x;x;;;;x;;x;;x;;x;x;x;;;;;x;x;x;;;
zork (vilboz);;;x;x;x;;;;;x;;;;;;;;x;;;x;;x;;;;;
zork (vilboz14);;x;x;;x;;;;;x;;;;x;;;;x;;;x;;x;;;;;
zork (vilboz360);;x;;;x;;;;;x;;;;x;;x;;x;;;x;;;;x;;;
zork (woomax);;x;x;;x;;;;;x;;x;;x;;x;;;;;;;;;x;;;
zork-arc-r (berknip);;;x;;;;;;;x;;x;;;;x;;x;;;;;;;;;;
zork-arc-r (vilboz);;;x;;x;;;;;x;;x;;x;;x;;x;;;x;;x;;x;;;
zork-kernelnext (ezkinil);;;x;;x;;;;;x;;;;x;;;;x;;;;;x;;;;;
